Temperature (C),Humidity (%),BMP Temp (C),Pressure (hPa),MQ135 Voltage (V),PM2.5 (µg/m³),PPM (CO2)
31.9,78.0,31.2,1002.43,0.04,1.77,0.12
31.9,78.0,31.21,1002.43,0.04,1.93,0.15
31.9,78.0,31.21,1002.43,0.04,2.01,0.17
31.8,78.0,31.21,1002.43,0.04,2.18,0.21
31.9,78.0,31.21,1002.43,0.04,1.93,0.15
31.9,78.0,31.21,1002.44,0.04,1.97,0.16
31.8,78.0,31.21,1002.43,0.06,3.22,0.64
31.8,78.0,31.21,1002.43,0.07,3.26,0.66
31.8,78.0,31.21,1002.43,0.04,1.85,0.14
31.8,78.0,31.21,1002.43,0.04,2.18,0.21
31.8,78.0,31.22,1002.43,0.04,1.93,0.15
31.8,78.0,31.22,1002.43,0.04,2.18,0.21
31.8,78.0,31.22,1002.43,0.04,1.97,0.16
31.8,78.0,31.23,1002.44,0.04,1.93,0.15
31.8,78.0,31.23,1002.44,0.04,2.18,0.21
31.8,78.0,31.23,1002.44,0.03,1.33,0.05
31.8,78.0,31.23,1002.44,0.04,1.97,0.16
31.8,78.0,31.23,1002.44,0.03,1.65,0.1
31.8,78.0,31.23,1002.44,0.04,1.93,0.15
31.8,78.0,31.24,1002.44,0.04,1.93,0.15
31.8,78.0,31.24,1002.44,0.04,1.93,0.15
31.8,78.0,31.24,1002.44,0.05,2.38,0.27
31.8,78.0,31.25,1002.44,0.05,2.5,0.31
31.8,78.0,31.25,1002.44,0.04,2.22,0.22
31.8,78.0,31.26,1002.44,0.05,2.58,0.34
31.8,78.0,31.27,1002.43,0.05,2.34,0.26
31.8,78.0,31.27,1002.43,0.03,1.57,0.09
31.8,79.0,31.28,1002.43,0.05,2.46,0.3
31.8,79.0,31.29,1002.43,0.04,2.14,0.2
31.8,79.0,31.3,1002.43,0.04,1.81,0.13
31.8,79.0,31.3,1002.43,0.04,1.81,0.13
31.8,78.0,31.29,1002.43,0.0,0.0,0.0
31.8,78.0,31.29,1002.43,0.04,1.97,0.16
31.8,78.0,31.29,1002.43,0.01,0.73,0.01
31.8,78.0,31.29,1002.43,0.04,1.85,0.14
31.8,78.0,31.29,1002.43,0.04,2.18,0.21
31.8,78.0,31.28,1002.43,0.04,1.93,0.15
31.9,78.0,31.28,1002.43,0.02,1.25,0.04
31.9,78.0,31.28,1002.44,0.04,2.18,0.21
31.9,78.0,31.28,1002.44,0.04,2.1,0.19
31.8,78.0,31.27,1002.45,0.04,1.93,0.15
31.8,78.0,31.27,1002.45,0.04,1.93,0.15
31.8,78.0,31.26,1002.45,0.07,3.3,0.69
31.8,78.0,31.26,1002.45,0.03,1.57,0.09
31.8,78.0,31.25,1002.46,0.04,1.93,0.15
31.8,78.0,31.25,1002.46,0.02,0.97,0.02
31.8,78.0,31.25,1002.46,0.04,1.97,0.16
31.8,78.0,31.25,1002.46,0.06,3.14,0.6
31.8,78.0,31.24,1002.46,0.04,1.89,0.14
31.8,78.0,31.24,1002.46,0.04,1.93,0.15
31.8,78.0,31.24,1002.46,0.04,1.89,0.14
31.8,78.0,31.24,1002.46,0.05,2.7,0.39
31.8,78.0,31.24,1002.47,0.04,2.14,0.2
31.8,78.0,31.24,1002.47,0.04,1.93,0.15
31.8,78.0,31.23,1002.47,0.04,2.22,0.22
31.8,78.0,31.23,1002.47,0.06,3.14,0.6
31.8,78.0,31.23,1002.47,0.04,2.18,0.21
31.8,78.0,31.23,1002.47,0.05,2.38,0.27
31.8,78.0,31.23,1002.47,0.04,2.14,0.2
31.8,78.0,31.23,1002.47,0.03,1.69,0.1
31.8,78.0,31.23,1002.47,0.04,1.93,0.15
31.8,78.0,31.23,1002.47,0.05,2.3,0.25
31.8,78.0,31.23,1002.47,0.05,2.58,0.34
31.8,78.0,31.23,1002.47,0.04,1.97,0.16
31.8,78.0,31.24,1002.47,0.02,1.25,0.04
31.8,79.0,31.24,1002.47,0.03,1.37,0.06
31.8,78.0,31.24,1002.47,0.05,2.42,0.28
31.8,78.0,31.24,1002.47,0.04,1.93,0.15
31.8,78.0,31.24,1002.47,0.04,1.85,0.14
31.8,79.0,31.24,1002.48,0.04,1.93,0.15
31.8,78.0,31.24,1002.48,0.04,2.1,0.19
31.8,79.0,31.25,1002.48,0.04,1.93,0.15
31.8,79.0,31.25,1002.48,0.04,1.89,0.14
31.8,79.0,31.25,1002.48,0.03,1.73,0.11
31.8,78.0,31.25,1002.48,0.05,2.42,0.28
31.8,78.0,31.24,1002.48,0.04,2.01,0.17
31.8,79.0,31.24,1002.48,0.04,1.85,0.14
31.8,79.0,31.24,1002.48,0.04,2.14,0.2
31.8,79.0,31.24,1002.48,0.05,2.66,0.37
31.8,79.0,31.25,1002.48,0.04,2.22,0.22
31.8,78.0,31.25,1002.48,0.05,2.54,0.33
31.8,79.0,31.25,1002.48,0.04,2.05,0.18
31.8,79.0,31.26,1002.49,0.05,2.66,0.37
31.8,78.0,31.26,1002.48,0.04,2.22,0.22
31.8,79.0,31.26,1002.48,0.04,1.77,0.12
31.8,79.0,31.26,1002.49,0.04,2.1,0.19
31.8,79.0,31.26,1002.49,0.06,3.22,0.64
31.8,79.0,31.26,1002.49,0.04,1.81,0.13
31.8,79.0,31.26,1002.49,0.02,1.25,0.04
31.8,78.0,31.26,1002.49,0.04,1.93,0.15
31.8,79.0,31.26,1002.5,0.05,2.34,0.26
31.8,79.0,31.25,1002.5,0.03,1.69,0.1
31.8,79.0,31.25,1002.5,0.04,2.18,0.21
31.8,79.0,31.25,1002.5,0.0,0.0,0.0
31.8,79.0,31.25,1002.5,0.03,1.53,0.08
31.8,79.0,31.25,1002.51,0.03,1.33,0.05
31.8,79.0,31.25,1002.51,0.03,1.57,0.09
31.8,79.0,31.25,1002.51,0.04,1.93,0.15
31.8,79.0,31.25,1002.51,0.03,1.73,0.11
31.8,79.0,31.25,1002.52,0.0,0.0,0.0
31.8,79.0,31.25,1002.52,0.04,1.81,0.13
31.8,79.0,31.25,1002.52,0.06,2.86,0.46
31.8,79.0,31.25,1002.52,0.03,1.53,0.08
31.8,78.0,31.25,1002.52,0.03,1.73,0.11
31.8,79.0,31.24,1002.52,0.02,1.21,0.04
31.8,79.0,31.24,1002.52,0.08,4.15,1.31
31.8,79.0,31.24,1002.53,0.04,2.01,0.17
31.8,79.0,31.23,1002.53,0.04,1.97,0.16
31.8,79.0,31.23,1002.53,0.04,1.77,0.12
31.8,79.0,31.23,1002.52,0.04,2.1,0.19
31.8,79.0,31.23,1002.52,0.03,1.37,0.06
31.8,79.0,31.23,1002.52,0.04,1.93,0.15
31.8,78.0,31.24,1002.53,0.04,1.81,0.13
31.8,78.0,31.24,1002.52,0.05,2.46,0.3
31.8,79.0,31.24,1002.53,0.03,1.53,0.08
31.8,79.0,31.25,1002.54,0.04,1.93,0.15
31.8,79.0,31.25,1002.54,0.04,2.22,0.22
31.8,79.0,31.26,1002.53,0.04,2.18,0.21
31.8,79.0,31.26,1002.53,0.03,1.69,0.1
31.8,79.0,31.26,1002.53,0.05,2.58,0.34
31.8,79.0,31.26,1002.53,0.05,2.62,0.36
31.8,79.0,31.26,1002.53,0.04,2.01,0.17
31.8,79.0,31.26,1002.53,0.06,3.02,0.53
31.8,79.0,31.26,1002.53,0.04,2.22,0.22
31.8,79.0,31.26,1002.54,0.04,2.18,0.21
31.8,79.0,31.26,1002.54,0.04,1.93,0.15
31.8,79.0,31.26,1002.54,0.02,1.17,0.04
31.8,79.0,31.26,1002.54,0.04,2.01,0.17
31.8,79.0,31.26,1002.53,0.04,1.81,0.13
31.8,79.0,31.26,1002.53,0.03,1.49,0.07
31.8,79.0,31.26,1002.53,0.04,1.93,0.15
31.8,79.0,31.26,1002.53,0.03,1.69,0.1
31.8,79.0,31.27,1002.53,0.04,1.85,0.14
31.8,79.0,31.27,1002.53,0.03,1.33,0.05
31.8,79.0,31.27,1002.54,0.04,1.77,0.12
31.8,79.0,31.27,1002.53,0.04,2.14,0.2
31.8,79.0,31.27,1002.54,0.05,2.38,0.27
31.8,79.0,31.27,1002.54,0.05,2.42,0.28
31.8,79.0,31.27,1002.53,0.02,1.25,0.04
31.8,79.0,31.27,1002.54,0.07,3.38,0.74
31.8,79.0,31.27,1002.53,0.05,2.46,0.3
31.8,79.0,31.27,1002.53,0.04,1.85,0.14
31.8,79.0,31.27,1002.53,0.04,1.81,0.13
31.8,79.0,31.28,1002.53,0.03,1.29,0.05
31.8,79.0,31.28,1002.53,0.0,0.0,0.0
31.8,79.0,31.28,1002.54,0.03,1.57,0.09
31.8,79.0,31.29,1002.55,0.04,2.18,0.21
31.8,79.0,31.29,1002.54,0.04,1.97,0.16
31.8,79.0,31.29,1002.55,0.05,2.26,0.23
31.8,79.0,31.29,1002.55,0.05,2.42,0.28
31.8,79.0,31.29,1002.54,0.03,1.73,0.11
31.8,79.0,31.29,1002.55,0.05,2.58,0.34
31.8,79.0,31.29,1002.55,0.05,2.46,0.3
31.8,79.0,31.29,1002.55,0.04,2.05,0.18
31.8,79.0,31.28,1002.55,0.05,2.58,0.34
31.8,79.0,31.28,1002.55,0.03,1.41,0.06
31.8,79.0,31.27,1002.54,0.03,1.53,0.08
31.8,79.0,31.27,1002.54,0.04,2.14,0.2
31.8,79.0,31.27,1002.54,0.04,1.93,0.15
31.8,79.0,31.27,1002.54,0.08,3.79,1.01
31.8,79.0,31.27,1002.54,0.06,3.06,0.55
31.8,79.0,31.27,1002.54,0.04,1.93,0.15
31.8,79.0,31.28,1002.54,0.03,1.45,0.07
31.8,79.0,31.28,1002.54,0.04,1.97,0.16
31.8,79.0,31.28,1002.54,0.05,2.3,0.25
31.8,79.0,31.28,1002.54,0.03,1.61,0.09
31.8,79.0,31.29,1002.54,0.04,1.89,0.14
31.8,79.0,31.29,1002.54,0.04,1.77,0.12
31.8,79.0,31.29,1002.54,0.04,2.01,0.17
31.8,79.0,31.28,1002.54,0.04,2.14,0.2
31.8,79.0,31.28,1002.55,0.02,0.93,0.02
31.8,79.0,31.28,1002.55,0.03,1.73,0.11
31.8,79.0,31.27,1002.55,0.04,1.77,0.12
31.8,79.0,31.27,1002.56,0.02,1.21,0.04
31.8,79.0,31.27,1002.56,0.03,1.33,0.05
31.8,79.0,31.26,1002.56,0.02,1.17,0.04
31.8,79.0,31.26,1002.56,0.05,2.58,0.34
31.8,79.0,31.26,1002.56,0.03,1.57,0.09
31.8,79.0,31.25,1002.56,0.03,1.69,0.1
31.8,79.0,31.25,1002.56,0.01,0.73,0.01
31.8,79.0,31.25,1002.56,0.03,1.57,0.09
31.8,79.0,31.25,1002.56,0.04,1.93,0.15
31.8,79.0,31.25,1002.56,0.03,1.69,0.1
31.8,79.0,31.25,1002.56,0.04,2.05,0.18
31.8,79.0,31.25,1002.56,0.03,1.65,0.1
31.8,79.0,31.25,1002.56,0.02,0.89,0.02
31.8,79.0,31.25,1002.56,0.04,2.1,0.19
31.8,79.0,31.26,1002.56,0.04,1.81,0.13
31.8,79.0,31.26,1002.56,0.04,1.93,0.15
31.8,79.0,31.26,1002.56,0.04,1.77,0.12
31.8,79.0,31.26,1002.56,0.02,1.25,0.04
31.8,79.0,31.26,1002.56,0.03,1.69,0.1
31.8,79.0,31.27,1002.56,0.02,1.13,0.03
31.8,79.0,31.27,1002.55,0.05,2.58,0.34
31.8,79.0,31.27,1002.55,0.02,1.21,0.04
31.8,79.0,31.27,1002.55,0.03,1.41,0.06
31.8,79.0,31.27,1002.56,0.03,1.69,0.1
31.8,79.0,31.27,1002.56,0.05,2.5,0.31
31.8,79.0,31.26,1002.56,0.04,1.81,0.13
31.8,79.0,31.26,1002.55,0.04,2.18,0.21
31.8,79.0,31.26,1002.56,0.05,2.5,0.31
31.8,79.0,31.26,1002.56,0.03,1.41,0.06
31.8,79.0,31.26,1002.57,0.04,2.05,0.18
31.8,79.0,31.26,1002.57,0.05,2.58,0.34
31.8,79.0,31.27,1002.56,0.02,0.93,0.02
31.8,79.0,31.27,1002.56,0.05,2.34,0.26
31.8,79.0,31.26,1002.57,0.04,1.93,0.15
31.8,79.0,31.26,1002.56,0.04,2.01,0.17
31.8,79.0,31.26,1002.56,0.0,0.12,0.0
31.8,79.0,31.26,1002.56,0.09,4.51,1.66
31.8,79.0,31.26,1002.56,0.04,2.18,0.21
31.8,79.0,31.26,1002.56,0.04,1.93,0.15
31.8,79.0,31.26,1002.57,0.04,1.93,0.15
31.8,79.0,31.26,1002.57,0.01,0.68,0.01
31.8,79.0,31.26,1002.57,0.03,1.69,0.1
31.8,79.0,31.26,1002.57,0.03,1.73,0.11
31.8,79.0,31.26,1002.58,0.04,1.85,0.14
31.8,79.0,31.26,1002.58,0.07,3.42,0.76
31.8,79.0,31.26,1002.58,0.04,1.93,0.15
31.8,79.0,31.26,1002.57,0.03,1.65,0.1
31.8,79.0,31.25,1002.58,0.02,1.21,0.04
31.8,79.0,31.25,1002.58,0.03,1.49,0.07
31.8,79.0,31.25,1002.58,0.04,1.89,0.14
31.8,79.0,31.24,1002.58,0.03,1.37,0.06
31.8,79.0,31.24,1002.58,0.05,2.3,0.25
31.8,79.0,31.24,1002.58,0.02,0.89,0.02
31.8,79.0,31.24,1002.58,0.04,1.93,0.15
31.8,79.0,31.25,1002.58,0.04,1.89,0.14
31.8,79.0,31.25,1002.58,0.05,2.74,0.41
31.8,79.0,31.26,1002.58,0.03,1.45,0.07
31.8,79.0,31.26,1002.59,0.04,1.89,0.14
31.8,79.0,31.26,1002.59,0.03,1.73,0.11
31.8,79.0,31.27,1002.59,0.03,1.73,0.11
31.8,79.0,31.27,1002.59,0.04,2.14,0.2
31.8,79.0,31.28,1002.59,0.03,1.69,0.1
31.8,79.0,31.28,1002.6,0.04,1.77,0.12
31.8,79.0,31.28,1002.6,0.04,2.05,0.18
31.8,79.0,31.28,1002.6,0.02,0.85,0.02
31.8,79.0,31.28,1002.6,0.05,2.38,0.27
31.8,79.0,31.28,1002.6,0.01,0.68,0.01
31.8,79.0,31.28,1002.6,0.02,1.25,0.04
31.8,79.0,31.28,1002.6,0.05,2.3,0.25
31.8,79.0,31.28,1002.6,0.04,2.14,0.2
31.8,79.0,31.28,1002.6,0.03,1.57,0.09
31.8,79.0,31.28,1002.6,0.04,1.77,0.12
31.8,79.0,31.28,1002.6,0.03,1.65,0.1
31.8,79.0,31.27,1002.61,0.03,1.53,0.08
31.8,79.0,31.27,1002.61,0.03,1.37,0.06
31.8,79.0,31.27,1002.61,0.04,1.89,0.14
31.8,79.0,31.27,1002.61,0.06,2.82,0.44
31.8,79.0,31.26,1002.6,0.04,2.1,0.19
31.8,79.0,31.26,1002.6,0.01,0.44,0.0
31.8,79.0,31.25,1002.61,0.04,1.93,0.15
31.8,79.0,31.25,1002.6,0.04,2.01,0.17
31.8,79.0,31.25,1002.6,0.04,1.89,0.14
31.8,79.0,31.25,1002.6,0.03,1.49,0.07
31.8,79.0,31.25,1002.61,0.04,1.85,0.14
31.8,79.0,31.25,1002.6,0.04,1.97,0.16
31.8,79.0,31.26,1002.6,0.04,1.77,0.12
31.8,79.0,31.26,1002.6,0.04,1.93,0.15
31.8,79.0,31.26,1002.61,0.03,1.65,0.1
31.8,79.0,31.26,1002.61,0.03,1.49,0.07
31.8,79.0,31.26,1002.61,0.03,1.69,0.1
31.8,79.0,31.26,1002.61,0.04,1.89,0.14
31.8,79.0,31.27,1002.61,0.04,2.18,0.21
31.8,79.0,31.27,1002.61,0.05,2.34,0.26
31.8,79.0,31.27,1002.6,0.04,2.1,0.19
31.8,79.0,31.27,1002.6,0.04,1.89,0.14
31.8,79.0,31.27,1002.61,0.04,1.93,0.15
31.8,79.0,31.27,1002.6,0.04,2.01,0.17
31.8,79.0,31.27,1002.6,0.04,1.85,0.14
31.8,79.0,31.27,1002.61,0.04,1.93,0.15
31.8,79.0,31.27,1002.61,0.05,2.5,0.31
31.8,79.0,31.27,1002.61,0.04,1.77,0.12
31.8,79.0,31.26,1002.61,0.04,1.77,0.12
31.8,79.0,31.26,1002.61,0.04,1.93,0.15
31.8,79.0,31.26,1002.61,0.04,1.93,0.15
31.8,79.0,31.26,1002.61,0.04,1.97,0.16
31.8,79.0,31.25,1002.61,0.03,1.69,0.1
31.8,79.0,31.25,1002.61,0.02,1.25,0.04
31.8,79.0,31.25,1002.61,0.0,0.0,0.0
31.8,79.0,31.24,1002.61,0.03,1.41,0.06
31.8,79.0,31.24,1002.61,0.03,1.73,0.11
31.8,79.0,31.24,1002.61,0.03,1.41,0.06
31.8,79.0,31.24,1002.61,0.01,0.52,0.0
31.8,79.0,31.24,1002.61,0.07,3.42,0.76
31.8,79.0,31.24,1002.62,0.04,2.18,0.21
31.8,79.0,31.24,1002.61,0.04,1.81,0.13
31.8,79.0,31.24,1002.62,0.01,0.52,0.0
31.8,79.0,31.24,1002.62,0.03,1.69,0.1
31.8,79.0,31.24,1002.62,0.03,1.41,0.06
31.8,79.0,31.24,1002.62,0.04,1.81,0.13
31.8,79.0,31.24,1002.61,0.03,1.69,0.1
31.8,79.0,31.24,1002.62,0.05,2.66,0.37
31.8,79.0,31.24,1002.62,0.04,1.77,0.12
31.8,79.0,31.25,1002.62,0.03,1.37,0.06
31.8,79.0,31.25,1002.62,0.04,1.77,0.12
31.8,79.0,31.25,1002.63,0.04,2.05,0.18
31.8,79.0,31.25,1002.63,0.04,1.89,0.14
31.8,79.0,31.26,1002.62,0.04,2.01,0.17
31.8,79.0,31.26,1002.63,0.04,1.93,0.15
31.8,79.0,31.26,1002.63,0.04,2.14,0.2
31.8,79.0,31.27,1002.63,0.03,1.73,0.11
31.8,79.0,31.28,1002.62,0.03,1.57,0.09
31.8,79.0,31.28,1002.62,0.04,1.85,0.14
31.8,79.0,31.29,1002.63,0.04,2.01,0.17
31.8,79.0,31.29,1002.62,0.04,1.85,0.14
31.8,79.0,31.29,1002.62,0.05,2.38,0.27
31.8,79.0,31.29,1002.62,0.04,2.18,0.21
31.8,79.0,31.29,1002.62,0.02,1.05,0.03
31.8,79.0,31.29,1002.62,0.04,1.97,0.16
31.8,79.0,31.29,1002.63,0.03,1.73,0.11
31.8,79.0,31.29,1002.63,0.03,1.57,0.09
31.8,79.0,31.29,1002.63,0.04,1.77,0.12
31.8,79.0,31.29,1002.64,0.03,1.73,0.11
31.8,79.0,31.29,1002.64,0.04,1.93,0.15
31.8,79.0,31.3,1002.63,0.03,1.57,0.09
31.8,79.0,31.3,1002.64,0.03,1.57,0.09
31.8,79.0,31.3,1002.64,0.04,1.93,0.15
31.8,79.0,31.31,1002.64,0.04,1.85,0.14
31.8,79.0,31.31,1002.65,0.04,2.05,0.18
31.8,79.0,31.32,1002.65,0.04,1.93,0.15
31.8,79.0,31.32,1002.64,0.08,3.99,1.17
31.8,79.0,31.32,1002.64,0.02,0.77,0.01
31.8,79.0,31.32,1002.65,0.04,2.01,0.17
31.8,79.0,31.32,1002.65,0.03,1.69,0.1
31.8,79.0,31.32,1002.65,0.03,1.69,0.1
31.8,79.0,31.33,1002.65,0.04,1.81,0.13
31.8,79.0,31.32,1002.65,0.03,1.53,0.08
31.8,79.0,31.32,1002.65,0.04,1.89,0.14
31.8,79.0,31.32,1002.65,0.03,1.57,0.09
31.8,79.0,31.32,1002.65,0.02,1.17,0.04
31.8,79.0,31.32,1002.65,0.04,1.81,0.13
31.8,79.0,31.32,1002.65,0.04,1.93,0.15
31.8,79.0,31.32,1002.65,0.03,1.57,0.09
31.8,79.0,31.33,1002.65,0.03,1.29,0.05
31.8,79.0,31.33,1002.65,0.04,1.81,0.13
31.8,79.0,31.34,1002.66,0.04,1.85,0.14
31.8,79.0,31.34,1002.65,0.05,2.38,0.27
31.8,79.0,31.34,1002.66,0.04,1.77,0.12
31.8,79.0,31.34,1002.66,0.05,2.7,0.39
31.8,79.0,31.34,1002.66,0.04,1.89,0.14
31.8,79.0,31.34,1002.67,0.04,2.1,0.19
31.8,79.0,31.34,1002.67,0.04,1.93,0.15
31.8,79.0,31.34,1002.67,0.04,2.14,0.2
31.8,79.0,31.34,1002.67,0.03,1.37,0.06
31.8,79.0,31.34,1002.67,0.03,1.49,0.07
31.8,79.0,31.34,1002.67,0.04,2.14,0.2
31.8,79.0,31.34,1002.67,0.0,0.0,0.0
31.8,79.0,31.34,1002.67,0.04,2.01,0.17
31.8,79.0,31.34,1002.67,0.04,1.81,0.13
31.8,79.0,31.34,1002.67,0.04,1.93,0.15
31.8,79.0,31.34,1002.68,0.02,1.13,0.03
31.8,79.0,31.33,1002.67,0.04,1.85,0.14
31.8,79.0,31.33,1002.67,0.04,1.77,0.12
31.8,79.0,31.33,1002.67,0.04,1.93,0.15
31.8,79.0,31.33,1002.66,0.03,1.57,0.09
31.8,79.0,31.32,1002.66,0.04,2.05,0.18
31.8,79.0,31.32,1002.65,0.03,1.57,0.09
31.8,79.0,31.32,1002.66,0.04,2.18,0.21
31.8,79.0,31.31,1002.66,0.04,2.18,0.21
31.8,79.0,31.31,1002.65,0.04,1.93,0.15
31.8,79.0,31.31,1002.65,0.04,1.93,0.15
31.9,79.0,31.3,1002.65,0.04,2.01,0.17
31.8,79.0,31.3,1002.65,0.04,2.05,0.18
31.9,79.0,31.29,1002.65,0.05,2.62,0.36
31.8,79.0,31.29,1002.65,0.04,2.01,0.17
31.8,79.0,31.29,1002.65,0.04,1.93,0.15
31.8,79.0,31.29,1002.65,0.06,2.98,0.51
31.8,79.0,31.29,1002.65,0.04,1.97,0.16
31.8,79.0,31.29,1002.64,0.04,2.22,0.22
31.8,79.0,31.29,1002.64,0.04,1.81,0.13
31.8,79.0,31.29,1002.64,0.04,2.22,0.22
31.9,79.0,31.29,1002.64,0.04,1.81,0.13
31.8,79.0,31.29,1002.64,0.03,1.57,0.09
31.9,79.0,31.29,1002.65,0.04,1.93,0.15
31.9,79.0,31.29,1002.65,0.05,2.58,0.34
31.9,79.0,31.29,1002.65,0.03,1.73,0.11
31.9,79.0,31.29,1002.65,0.04,1.93,0.15
31.9,79.0,31.29,1002.64,0.04,1.97,0.16
31.8,79.0,31.29,1002.65,0.03,1.53,0.08
31.9,79.0,31.29,1002.65,0.04,1.85,0.14
31.9,79.0,31.29,1002.65,0.01,0.68,0.01
31.9,79.0,31.29,1002.64,0.01,0.52,0.0
31.9,79.0,31.29,1002.65,0.03,1.37,0.06
32.0,79.0,31.3,1002.65,0.04,1.85,0.14
32.0,79.0,31.31,1002.65,0.04,2.05,0.18
32.0,79.0,31.31,1002.64,0.03,1.49,0.07
32.0,79.0,31.31,1002.64,0.04,1.93,0.15
32.1,79.0,31.31,1002.64,0.03,1.45,0.07
32.1,79.0,31.31,1002.64,0.04,2.18,0.21
32.1,79.0,31.31,1002.64,0.04,1.93,0.15
32.1,79.0,31.31,1002.64,0.04,2.22,0.22
32.1,79.0,31.31,1002.64,0.03,1.73,0.11
32.1,79.0,31.31,1002.64,0.04,1.77,0.12
32.1,79.0,31.31,1002.64,0.03,1.57,0.09
32.1,79.0,31.31,1002.64,0.04,1.97,0.16
32.2,79.0,31.31,1002.65,0.04,1.93,0.15
32.2,79.0,31.3,1002.65,0.04,1.97,0.16
32.2,79.0,31.3,1002.65,0.05,2.58,0.34
32.2,78.0,31.3,1002.65,0.04,1.97,0.16
32.2,79.0,31.3,1002.64,0.04,1.93,0.15
32.1,78.0,31.3,1002.64,0.04,1.81,0.13
32.1,79.0,31.29,1002.65,0.02,0.85,0.02
32.1,78.0,31.29,1002.64,0.03,1.33,0.05
32.1,78.0,31.29,1002.64,0.04,1.89,0.14
32.1,78.0,31.29,1002.64,0.03,1.29,0.05
32.1,79.0,31.29,1002.65,0.04,2.05,0.18
32.1,78.0,31.29,1002.65,0.02,1.25,0.04
32.1,79.0,31.3,1002.65,0.03,1.49,0.07
32.0,79.0,31.31,1002.65,0.03,1.69,0.1
32.1,79.0,31.31,1002.65,0.03,1.57,0.09
32.1,79.0,31.32,1002.65,0.03,1.33,0.05
32.1,79.0,31.32,1002.66,0.04,2.01,0.17
32.2,79.0,31.33,1002.66,0.01,0.68,0.01
32.2,79.0,31.33,1002.66,0.04,1.93,0.15
32.2,79.0,31.33,1002.66,0.02,1.25,0.04
32.2,79.0,31.33,1002.65,0.04,1.97,0.16
32.3,79.0,31.33,1002.65,0.01,0.68,0.01
32.2,79.0,31.33,1002.65,0.02,0.97,0.02
32.3,79.0,31.33,1002.66,0.04,1.81,0.13
32.3,79.0,31.33,1002.66,0.03,1.65,0.1
32.3,79.0,31.33,1002.66,0.03,1.69,0.1
32.3,79.0,31.33,1002.66,0.03,1.53,0.08
32.3,79.0,31.33,1002.66,0.05,2.46,0.3
32.3,79.0,31.33,1002.66,0.03,1.45,0.07
32.3,79.0,31.33,1002.66,0.04,1.97,0.16
32.3,78.0,31.33,1002.65,0.02,1.25,0.04
32.3,78.0,31.32,1002.65,0.04,2.01,0.17
32.3,78.0,31.32,1002.65,0.03,1.73,0.11
32.3,78.0,31.32,1002.65,0.03,1.37,0.06
32.3,78.0,31.32,1002.65,0.04,1.97,0.16
32.3,78.0,31.32,1002.65,0.03,1.49,0.07
32.3,78.0,31.32,1002.65,0.04,1.93,0.15
32.3,78.0,31.32,1002.64,0.03,1.57,0.09
